Source,Target,Type,Weight
14,17,Undirected,7
11,18,Undirected,16
8,23,Undirected,69
12,51,Undirected,19
16,50,Undirected,23
32,58,Undirected,26
1,15,Undirected,59
5,55,Undirected,22
16,60,Undirected,1
15,39,Undirected,44
8,42,Undirected,7
11,38,Undirected,13
19,22,Undirected,3
2,9,Undirected,14
6,23,Undirected,5
7,30,Undirected,41
16,42,Undirected,7
13,42,Undirected,31
43,60,Undirected,13
15,51,Undirected,13
28,60,Undirected,19
6,27,Undirected,8
1,39,Undirected,19
46,51,Undirected,3
9,17,Undirected,16
11,26,Undirected,10
47,65,Undirected,204
7,32,Undirected,5
42,50,Undirected,21
1,27,Undirected,2
7,36,Undirected,1
30,46,Undirected,22
43,45,Undirected,12
32,42,Undirected,15
10,45,Undirected,6
28,39,Undirected,15
17,34,Undirected,1
45,60,Undirected,11
15,57,Undirected,9
13,55,Undirected,6
37,63,Undirected,20
9,32,Undirected,2
39,50,Undirected,11
1,36,Undirected,2
29,31,Undirected,1
22,32,Undirected,1
27,31,Undirected,5
19,57,Undirected,10
6,57,Undirected,2
26,31,Undirected,14
18,59,Undirected,9
2,18,Undirected,3
35,36,Undirected,1
5,65,Undirected,98
0,60,Undirected,1
19,26,Undirected,15
1,35,Undirected,6
16,23,Undirected,12
3,21,Undirected,3
17,33,Undirected,4
9,27,Undirected,3
40,58,Undirected,3
5,61,Undirected,136
26,30,Undirected,3
31,36,Undirected,1
4,28,Undirected,3
14,25,Undirected,4
12,58,Undirected,3
49,51,Undirected,1
2,25,Undirected,1
19,46,Undirected,5
19,38,Undirected,2
22,40,Undirected,4
40,50,Undirected,1
9,26,Undirected,1
36,42,Undirected,1
0,49,Undirected,5
9,16,Undirected,5
40,43,Undirected,1
40,60,Undirected,2
12,62,Undirected,5
36,48,Undirected,1
50,59,Undirected,12
22,60,Undirected,5
4,39,Undirected,2
30,58,Undirected,1
0,30,Undirected,1
17,42,Undirected,1
44,47,Undirected,19
38,57,Undirected,1
17,30,Undirected,2
30,50,Undirected,2
12,43,Undirected,3
24,50,Undirected,3
9,38,Undirected,6
9,30,Undirected,1
20,37,Undirected,1
35,46,Undirected,3
9,43,Undirected,2
22,27,Undirected,1
19,24,Undirected,1
8,50,Undirected,1
19,31,Undirected,2
29,30,Undirected,1
49,50,Undirected,2
33,45,Undirected,2
23,32,Undirected,1
36,43,Undirected,1
16,33,Undirected,1
11,19,Undirected,1
18,27,Undirected,1
12,60,Undirected,1
